extracted,url,best_term,best_cosine,matched_terms
 cyberattack,https://www.pymnts.com/tag/cyberattack/,Cyberattack,0.8496992,Cyberattack
 deep learning,https://www.pymnts.com/tag/deep-learning/,Deep Learning,0.8950998,Deep Learning
 cookies,https://www.pymnts.com/tag/cookies/,Cookie,0.8331066,Cookie
 cyberfraud,https://www.pymnts.com/tag/cyberfraud/,Cyber Fraud,0.7830686,Cyber Fraud
 cloud services,https://www.pymnts.com/tag/cloud-services/,Cloud Computing,0.7573633,Cloud Computing
 regtech,https://www.pymnts.com/tag/regtech/,Regtech,0.8644494,Regtech
 financial literacy,https://www.pymnts.com/tag/financial-literacy/,Financial Intelligence,0.7713774,Financial Intelligence
 two factor authentication,https://www.pymnts.com/tag/two-factor-authentication/,Two-Factor Authentication (2FA),0.8424717,Multi-Factor Authentication; Two-Factor Authentication (2FA)
 regulatory compliance,https://www.pymnts.com/tag/regulatory-compliance/,Regulatory Compliance,0.8440547,Regulatory Compliance
 identity,https://www.pymnts.com/tag/identity/,Identity,0.8324146,Identity
 omnichannel banking,https://www.pymnts.com/tag/omnichannel-banking/,Omnichannel,0.7611674,Omnichannel
 payments processor,https://www.pymnts.com/tag/payments-processor/,Payment Gateway,0.7594081,Payment Gateway
 payment fraud,https://www.pymnts.com/tag/payment-fraud/,Payment Fraud,0.8869347,Confirmation Fraud; Payment Fraud
 financial fraud,https://www.pymnts.com/tag/financial-fraud/,Corporate fraud,0.7715741,Corporate fraud
 cross border transactions,https://www.pymnts.com/tag/cross-border-transactions/,Cross-Border Transactions,0.88434947,Cross Border; Cross-Border Transactions
 biometric authentication,https://www.pymnts.com/tag/biometric-authentication/,Biometric Authentication,0.9292862,Biometric Authentication; Biometrics
 trust,https://www.pymnts.com/tag/trust/,Trust,0.8219635,Trust
 facial recognition,https://www.pymnts.com/tag/facial-recognition/,Facial Recognition,0.8260799,Facial Recognition
 cross border trade,https://www.pymnts.com/tag/cross-border-trade/,Cross Border,0.7694611,Cross Border
 data encryption,https://www.pymnts.com/tag/data-encryption/,Data Encryption,0.8820453,Data Encryption
 virtual currency 2,https://www.pymnts.com/tag/virtual-currency-2/,Virtual Currency,0.7586943,Virtual Currency
 payment gateways,https://www.pymnts.com/tag/payment-gateways/,Payment Gateway,0.8329545,Payment Gateway
 2fa,https://www.pymnts.com/tag/2fa/,Two-Factor Authentication (2FA),0.7987203,Two-Factor Authentication (2FA)
 financial institution,https://www.pymnts.com/tag/financial-institution/,Financial Institution,0.83886874,Financial Institution
 digital fraud,https://www.pymnts.com/tag/digital-fraud/,Cyber Fraud,0.7804613,Computer Fraud; Cyber Fraud
 law enforcement,https://www.pymnts.com/tag/law-enforcement/,Law Enforcement,0.86846757,Law Enforcement
 botnets,https://www.pymnts.com/tag/botnets/,Botnet,0.8531077,Botnet
 botnet,https://www.pymnts.com/tag/botnet/,Botnet,0.93101877,Botnet
 omnichannel experience,https://www.pymnts.com/tag/omnichannel-experience/,Omnichannel,0.8263443,Omnichannel
 online fraud,https://www.pymnts.com/tag/online-fraud/,E-commerce Fraud,0.7713639,Cyber Fraud; E-commerce Fraud; Email Fraud
 dark web,https://www.pymnts.com/tag/dark-web/,Dark Web,0.8604413,Dark Web
 payment processor,https://www.pymnts.com/tag/payment-processor/,Payment Gateway,0.79128057,Payment Gateway
 gulf cooperation council,https://www.pymnts.com/tag/gulf-cooperation-council/,Gulf Cooperation Council (GCC),0.80914766,Gulf Cooperation Council (GCC)
 international monetary fund,https://www.pymnts.com/tag/international-monetary-fund/,International Monetary Fund (IMF),0.8239325,International Monetary Fund (IMF)
 cross border,https://www.pymnts.com/tag/cross-border/,Cross Border,0.88550156,Cross Border
 united nations,https://www.pymnts.com/tag/united-nations/,United Nations (UN),0.83228713,United Nations (UN)
 phishing scams,https://www.pymnts.com/tag/phishing-scams/,Instagram scammer,0.7557994,Instagram scammer
 oecd,https://www.pymnts.com/tag/oecd/,Organization For Economic Cooperation And Development (OECD),0.774012,Organization For Economic Cooperation And Development (OECD)
 shell,https://www.pymnts.com/tag/shell/,Shell,0.76429147,Shell
 credit card fraud,https://www.pymnts.com/tag/credit-card-fraud/,Credit Card Fraud,0.89282435,Credit Card Fraud
category identity theft,https://www.pymnts.com/category/identity-theft/,Identity Theft,0.7610032,Identity Theft
 integration,https://www.pymnts.com/tag/integration/,Integration,0.87531406,Integration
 false declines,https://www.pymnts.com/tag/false-declines/,False Declines,0.8262013,False Declines
 cyber attack,https://www.pymnts.com/tag/cyber-attack/,Cyberattack,0.829493,Cyberattack
 email scams,https://www.pymnts.com/tag/email-scams/,Email Fraud,0.7630194,Email Fraud
 embezzlement,https://www.pymnts.com/tag/embezzlement/,Embezzlement,0.9143183,Embezzlement
 risk,https://www.pymnts.com/tag/risk/,Risk,0.8590426,Risk
 strong customer authentication,https://www.pymnts.com/tag/strong-customer-authentication/,Consumer Authentication,0.75409365,Consumer Authentication
 digital identification,https://www.pymnts.com/tag/digital-identification/,Digital Identity,0.7696314,Digital Identity
 biometric security,https://www.pymnts.com/tag/biometric-security/,Biometric Authentication,0.84512335,Biometric Authentication; Biometrics
 europol,https://www.pymnts.com/tag/europol/,Europol,0.8988402,Europol
 behavioral analytics,https://www.pymnts.com/tag/behavioral-analytics/,Behavioral Analytics,0.8691261,Behavioral Analytics
 credential stuffing,https://www.pymnts.com/tag/credential-stuffing/,Credential Stuffing,0.83562016,Credential Stuffing
 tax evasion,https://www.pymnts.com/tag/tax-evasion/,Tax Evasion,0.83256036,Tax Evasion
 biometric,https://www.pymnts.com/tag/biometric/,Biometrics,0.8718811,Biometric Authentication; Biometrics
 correspondent banking,https://www.pymnts.com/tag/correspondent-banking/,Correspondent Banking,0.7724346,Correspondent Banking
fintech news,https://www.pymnts.com/fintech-news/,Fintech,0.8422825,Fintech
 cyber security,https://www.pymnts.com/tag/cyber-security/,Cybersecurity,0.81250644,Cybersecurity
cybersecurity,https://www.pymnts.com/cybersecurity/,Cybersecurity,0.91306686,Cybersecurity
cryptocurrency,https://www.pymnts.com/cryptocurrency/,Cryptocurrency,0.9338212,Cryptocurrency
series paypal digital fraud,https://www.pymnts.com/series/paypal-digital-fraud/,Paypal Fraud,0.83567137,Paypal Fraud
 false positives,https://www.pymnts.com/tag/false-positives/,False Positive,0.7621869,False Positive
 payroll fraud,https://www.pymnts.com/tag/payroll-fraud/,Payroll Fraud,0.7956913,Payroll Fraud
 cyber insurance,https://www.pymnts.com/tag/cyber-insurance/,Cybersecurity Insurance,0.7737497,Cybersecurity Insurance
 chargeback,https://www.pymnts.com/tag/chargeback/,Chargeback,0.93199015,Chargeback; Chargeback Fraud
 data mining,https://www.pymnts.com/tag/data-mining/,Data Mining,0.90897286,Data Mining
rtificial intelligence,https://www.pymnts.com/artificial-intelligence/,AI (Artificial Intelligence),0.7976855,AI (Artificial Intelligence)
cloud,https://www.pymnts.com/cloud/,Cloud,0.9286766,Cloud
series fraud,https://www.pymnts.com/series/fraud/,Fraud,0.7506309,Fraud
 geolocation,https://www.pymnts.com/tag/geolocation/,Geolocation Detection,0.798373,Geolocation Detection
internet of things,https://www.pymnts.com/internet-of-things/,Internet Of Things (IOT),0.82451206,Internet Of Things (IOT)
 bot,https://www.pymnts.com/tag/bot/,Bot,0.7945157,Bot
 corporate fraud,https://www.pymnts.com/tag/corporate-fraud/,Corporate fraud,0.91467386,Corporate fraud
digital identity,https://www.pymnts.com/digital-identity/,Digital Identity,0.92851186,Digital Identity
 byod,https://www.pymnts.com/tag/byod/,Bring Your Own Device (BYOD),0.7689469,Bring Your Own Device (BYOD)
mobile wallets,https://www.pymnts.com/mobile-wallets/,Digital Wallets,0.7571878,Digital Wallets
 emv,https://www.pymnts.com/tag/emv/,EMV,0.7864466,EMV
fintech payments,https://www.pymnts.com/fintech-payments/,Fintech,0.8105747,Fintech
 authorization,https://www.pymnts.com/tag/authorization/,Authorization,0.79060966,Authorization
 accounting fraud,https://www.pymnts.com/tag/accounting-fraud/,Corporate fraud,0.7625315,Corporate fraud
 ddos,https://www.pymnts.com/tag/ddos/,Ddos Attack,0.78416806,Ddos Attack
 wire transfer,https://www.pymnts.com/tag/wire-transfer/,Wire Transfer,0.80319816,Wire Transfer
 cloud security,https://www.pymnts.com/tag/cloud-security/,Cloud Security,0.9213734,Cloud Computing Security; Cloud Security
 email fraud,https://www.pymnts.com/tag/email-fraud/,Email Fraud,0.9001337,Email Fraud
 cyber attacks,https://www.pymnts.com/tag/cyber-attacks/,Cyberattack,0.7701615,Cyberattack
 iot security,https://www.pymnts.com/tag/iot-security/,Internet Of Things (IOT) Security,0.76006603,Internet Of Things (IOT) Security
 chip card,https://www.pymnts.com/tag/chip-card/,Smart Card,0.79328257,Smart Card
digital identity homepage,https://www.pymnts.com/digital-identity-homepage/,Digital Identity,0.7932218,Digital Identity
 fintech innovation,https://www.pymnts.com/tag/fintech-innovation/,Fintech,0.7638379,Fintech
 mobile security 2,https://www.pymnts.com/tag/mobile-security-2/,Mobile Security,0.8351398,Mobile Security
 corporate cybersecurity,https://www.pymnts.com/tag/corporate-cybersecurity/,Cybersecurity,0.7622257,Cybersecurity
 cyber crime,https://www.pymnts.com/tag/cyber-crime/,Cybercrime,0.841665,Cybercrime
 sme lending,https://www.pymnts.com/tag/sme-lending/,Lending,0.81869876,Lending
 softcard,https://www.pymnts.com/tag/softcard/,Smart Card,0.80126965,Smart Card
internet of things 2016 futureproofing the security of iot,https://www.pymnts.com/internet-of-things/2016/futureproofing-the-security-of-iot/,Internet Of Things (IOT) Security,0.76569945,Internet Of Things (IOT) Security
